product_id,identity_status,identity_evidence,identity_evidence_url,identity_validation_note,validated_at
SEC-S000020615-C000057587,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1378872/000110465910050411/a10-14262_3nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:56:10+00:00
SEC-S000020616-C000057588,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1378872/000110465910050411/a10-14262_3nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:08+00:00
SEC-S000020846-C000058342,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1418144/000110465908060651/a08-23947_1nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:56:58+00:00
SEC-S000020847-C000058343,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1418144/000110465908060651/a08-23947_1nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:00+00:00
SEC-S000021403-C000061129,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1378872/000110465908060954/a08-23947_2nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:56:53+00:00
SEC-S000021697-C000062227,registered_only_no_trading_evidence,sec_registration_without_operational_or_yahoo_history,,"Consta la serie registral, pero no hay informe operativo, precio de Yahoo ni anuncio de lanzamiento; se conserva fuera de la descarga hasta que aparezca evidencia positiva.",2026-08-28T13:55:09+00:00
SEC-S000021699-C000062229,registered_only_no_trading_evidence,sec_registration_without_operational_or_yahoo_history,,"Consta la serie registral, pero no hay informe operativo, precio de Yahoo ni anuncio de lanzamiento; se conserva fuera de la descarga hasta que aparezca evidencia positiva.",2026-08-28T13:55:10+00:00
SEC-S000022621-C000065461,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/820892/000089418908003166/faif_nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:02+00:00
SEC-S000023014-C000067032,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/35315/000003531508000075/main.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:09+00:00
SEC-S000023332-C000068251,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1378872/000110465909021191/a09-7251_2nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:56:57+00:00
SEC-S000023334-C000068253,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1378872/000110465909021191/a09-7251_2nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:05+00:00
SEC-S000028148-C000086049,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1411903/000100371510000560/jets093010nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:55:38+00:00
SEC-S000028547-C000087412,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1364608/000175272418002707/INTERNALCONTROLRPT_3.htm,El formulario SEC N-CEN aporta evidencia operativa o de cotización.,2026-08-28T13:54:33+00:00
SEC-S000029324-C000090167,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1424958/000095012310062368/c58566nvcsrs.htm,El formulario SEC N-CSRS aporta evidencia operativa o de cotización.,2026-08-28T13:54:45+00:00
SEC-S000029335-C000090178,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1424958/000095012311030527/c63372nvq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:54:54+00:00
SEC-S000030360-C000093356,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1378872/000110465911017692/a11-5384_3nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:55:44+00:00
SEC-S000031798-C000099052,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1510337/000114554919004722/internalcontrol.htm,El formulario SEC N-CEN aporta evidencia operativa o de cotización.,2026-08-28T13:54:49+00:00
SEC-S000031801-C000099055,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1510337/000114554919004722/internalcontrol.htm,El formulario SEC N-CEN aporta evidencia operativa o de cotización.,2026-08-28T13:54:52+00:00
SEC-S000032963-C000101702,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1383496/000175272418001096/INTERNALCONTROLRPT.htm,El formulario SEC N-CEN aporta evidencia operativa o de cotización.,2026-08-28T13:54:54+00:00
SEC-S000034438-C000105913,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1424958/000119312512129145/d310259dnq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:55:36+00:00
SEC-S000034441-C000105916,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1424958/000119312512407892/d403804dnq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:38+00:00
SEC-S000034443-C000105918,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1424958/000119312512407892/d403804dnq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:39+00:00
SEC-S000034444-C000105919,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1424958/000119312512407892/d403804dnq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:35+00:00
SEC-S000034531-C000106123,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1378872/000110465912022674/a12-3874_3nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:55:40+00:00
SEC-S000034532-C000106124,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1378872/000110465912022674/a12-3874_3nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:55:42+00:00
SEC-S000036501-C000111806,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1510337/000114554919004722/internalcontrol.htm,El formulario SEC N-CEN aporta evidencia operativa o de cotización.,2026-08-28T13:54:48+00:00
SEC-S000036502-C000111807,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1510337/000114554919004722/internalcontrol.htm,El formulario SEC N-CEN aporta evidencia operativa o de cotización.,2026-08-28T13:54:50+00:00
SEC-S000036504-C000111809,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1510337/000114554919004722/internalcontrol.htm,El formulario SEC N-CEN aporta evidencia operativa o de cotización.,2026-08-28T13:54:51+00:00
SEC-S000036685-C000112093,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1414040/000119312513181057/d526978dnq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:55:08+00:00
SEC-S000037588-C000116014,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1418144/000119312514123206/d699355dnq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:54:41+00:00
SEC-S000038518-C000118889,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1378872/000110465913072453/a13-16224_3nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:56:12+00:00
SEC-S000042038-C000130595,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1424958/000119312514122959/d688895dnq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:52+00:00
SEC-S000043788-C000135814,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1378872/000119312514123196/d699242dnq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:55:56+00:00
SEC-S000046272-C000144589,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1597389/000119312514398140/d817266dnq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:27+00:00
SEC-S000048655-C000153335,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1595106/000089180415000614/elk62638-nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:54:39+00:00
SEC-S000049157-C000154954,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1378872/000119312516523551/d138345dnq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:54:58+00:00
SEC-S000049159-C000154956,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1378872/000119312515328820/d90627dnq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:55:00+00:00
SEC-S000049160-C000154957,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1378872/000119312516523551/d138345dnq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:55:02+00:00
SEC-S000050665-C000160058,never_launched,never_launched_sec_statement,https://www.sec.gov/Archives/edgar/data/1646270/000119312516555277/d152582dnq.htm,Un informe oficial de la SEC indica expresamente que el fondo no había comenzado operaciones.,2026-08-28T13:56:01+00:00
SEC-S000053091-C000167065,never_launched,never_launched_sec_statement,https://www.sec.gov/Archives/edgar/data/1646270/000119312516735562/d269533dnq.htm,Un informe oficial de la SEC indica expresamente que el fondo no había comenzado operaciones.,2026-08-28T13:56:03+00:00
SEC-S000053262-C000167660,never_launched,never_launched_sec_statement,https://www.sec.gov/Archives/edgar/data/1646270/000119312516555277/d152582dnq.htm,Un informe oficial de la SEC indica expresamente que el fondo no había comenzado operaciones.,2026-08-28T13:56:02+00:00
SEC-S000053349-C000167834,never_launched,never_launched_sec_statement,https://www.sec.gov/Archives/edgar/data/1646270/000119312516649250/d222295dncsr.htm,Un informe oficial de la SEC indica expresamente que el fondo no había comenzado operaciones.,2026-08-28T13:56:08+00:00
SEC-S000053354-C000167851,never_launched,never_launched_sec_statement,https://www.sec.gov/Archives/edgar/data/1646270/000119312516735562/d269533dnq.htm,Un informe oficial de la SEC indica expresamente que el fondo no había comenzado operaciones.,2026-08-28T13:56:04+00:00
SEC-S000053419-C000168062,never_launched,never_launched_sec_statement,https://www.sec.gov/Archives/edgar/data/1646270/000119312516649250/d222295dncsr.htm,Un informe oficial de la SEC indica expresamente que el fondo no había comenzado operaciones.,2026-08-28T13:56:06+00:00
SEC-S000053843-C000169516,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1595106/000139834417002556/fp0023861_nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:41+00:00
SEC-S000053844-C000169517,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1595106/000139834417002556/fp0023861_nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:50+00:00
SEC-S000053845-C000169518,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1595106/000139834417002556/fp0023861_nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:42+00:00
SEC-S000053846-C000169519,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1595106/000139834417002556/fp0023861_nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:43+00:00
SEC-S000053847-C000169520,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1595106/000139834417002556/fp0023861_nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:44+00:00
SEC-S000053848-C000169521,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1595106/000139834417002556/fp0023861_nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:46+00:00
SEC-S000053849-C000169522,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1595106/000139834417002556/fp0023861_nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:47+00:00
SEC-S000053850-C000169523,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1595106/000139834417002556/fp0023861_nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:49+00:00
SEC-S000053851-C000169524,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1595106/000139834417002556/fp0023861_nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:57:51+00:00
SEC-S000053885-C000169567,never_launched,never_launched_sec_statement,https://www.sec.gov/Archives/edgar/data/1646270/000119312516735562/d269533dnq.htm,Un informe oficial de la SEC indica expresamente que el fondo no había comenzado operaciones.,2026-08-28T13:56:00+00:00
SEC-S000054579-C000171443,never_launched,never_launched_sec_statement,https://www.sec.gov/Archives/edgar/data/1646270/000119312516649250/d222295dncsr.htm,Un informe oficial de la SEC indica expresamente que el fondo no había comenzado operaciones.,2026-08-28T13:56:07+00:00
SEC-S000055322-C000174110,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1597389/000117120017000270/i17222_etf-nq.htm,El formulario SEC N-Q aporta evidencia operativa o de cotización.,2026-08-28T13:55:48+00:00
SEC-S000058016-C000189623,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1452937/000175272418001942/ETC_Bernstein_8.31_ICL.txt,El formulario SEC N-CEN aporta evidencia operativa o de cotización.,2026-08-28T13:54:32+00:00
SEC-S000058017-C000189624,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1452937/000175272418001942/ETC_Bernstein_8.31_ICL.txt,El formulario SEC N-CEN aporta evidencia operativa o de cotización.,2026-08-28T13:54:35+00:00
SEC-S000058685-C000192667,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:54:36+00:00
SEC-S000058686-C000192668,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:55:54+00:00
SEC-S000058691-C000192673,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:57:25+00:00
SEC-S000058693-C000192675,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:57:29+00:00
SEC-S000058695-C000192677,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:57:36+00:00
SEC-S000058696-C000192678,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1499655/000175272425055893/primary_doc.xml,El formulario SEC N-CEN aporta evidencia operativa o de cotización.,2026-08-28T13:54:29+00:00
SEC-S000058697-C000192679,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:57:21+00:00
SEC-S000058699-C000192681,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:54:36+00:00
SEC-S000058700-C000192682,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:54:42+00:00
SEC-S000058703-C000192685,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:55:51+00:00
SEC-S000059681-C000195344,registered_only_no_trading_evidence,sec_registration_without_operational_or_yahoo_history,,"Consta la serie registral, pero no hay informe operativo, precio de Yahoo ni anuncio de lanzamiento; se conserva fuera de la descarga hasta que aparezca evidencia positiva.",2026-08-28T13:57:32+00:00
SEC-S000059682-C000195345,registered_only_no_trading_evidence,sec_registration_without_operational_or_yahoo_history,,"Consta la serie registral, pero no hay informe operativo, precio de Yahoo ni anuncio de lanzamiento; se conserva fuera de la descarga hasta que aparezca evidencia positiva.",2026-08-28T13:57:33+00:00
SEC-S000059709-C000195390,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1597389/000175272418000391/primary_doc.xml,El formulario SEC N-CEN aporta evidencia operativa o de cotización.,2026-08-28T13:54:38+00:00
SEC-S000059710-C000195391,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1597389/000175272418000391/primary_doc.xml,El formulario SEC N-CEN aporta evidencia operativa o de cotización.,2026-08-28T13:54:37+00:00
SEC-S000059831-C000195755,registered_only_no_trading_evidence,sec_registration_without_operational_or_yahoo_history,,"Consta la serie registral, pero no hay informe operativo, precio de Yahoo ni anuncio de lanzamiento; se conserva fuera de la descarga hasta que aparezca evidencia positiva.",2026-08-28T13:54:47+00:00
SEC-S000078027-C000238765,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1540305/000114554924006271/dip_internalcontrolreport.htm,El formulario SEC N-CEN aporta evidencia operativa o de cotización.,2026-08-28T13:54:43+00:00
SEC-S000079463-C000240500,registered_only_no_trading_evidence,sec_registration_without_operational_or_yahoo_history,,"Consta la serie registral, pero no hay informe operativo, precio de Yahoo ni anuncio de lanzamiento; se conserva fuera de la descarga hasta que aparezca evidencia positiva.",2026-08-28T13:55:50+00:00
SEC-S000081418-C000244285,validated,validated_sec_operational,https://www.sec.gov/Archives/edgar/data/1597389/000175272424201513/primary_doc.xml,El formulario SEC N-CEN aporta evidencia operativa o de cotización.,2026-08-28T13:54:26+00:00
SEC-S000089647-C000256264,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:54:28+00:00
SEC-S000089648-C000256265,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:55:52+00:00
SEC-S000089649-C000256266,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:57:20+00:00
SEC-S000089651-C000256268,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:57:24+00:00
SEC-S000089652-C000256269,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:57:26+00:00
SEC-S000089653-C000256270,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:57:28+00:00
SEC-S000089654-C000256271,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:57:30+00:00
SEC-S000089655-C000256272,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:57:31+00:00
SEC-S000089656-C000256273,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:54:27+00:00
SEC-S000089659-C000256276,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:54:31+00:00
SEC-S000089660-C000256277,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:55:05+00:00
SEC-S000089661-C000256278,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:55:06+00:00
SEC-S000089662-C000256279,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:55:11+00:00
SEC-S000089663-C000256280,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:55:47+00:00
SEC-S000089664-C000256281,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:55:49+00:00
SEC-S000089678-C000256295,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:54:47+00:00
SEC-S000089679-C000256296,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:55:53+00:00
SEC-S000089680-C000256297,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:57:19+00:00
SEC-S000089681-C000256298,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:57:23+00:00
SEC-S000089682-C000256299,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:57:22+00:00
SEC-S000089683-C000256300,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:54:30+00:00
SEC-S000089684-C000256301,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:54:34+00:00
SEC-S000089685-C000256302,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:54:46+00:00
SEC-S000089686-C000256303,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:55:03+00:00
SEC-S000089687-C000256304,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:55:04+00:00
SEC-S000089688-C000256305,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:55:07+00:00
SEC-S000089689-C000256306,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:55:45+00:00
SEC-S000089690-C000256307,registered_not_trading,issuer_directory_coming_soon,https://adrhedged.com/directory/,El directorio del emisor lo identifica como Coming Soon y no disponible para negociación.,2026-08-28T13:55:46+00:00
SEC-S000075594-C000234815,registered_not_trading,sec_filing_not_commenced,https://www.sec.gov/Archives/edgar/data/1742912/000183988223033879/newday-485bbpos_121523.htm,El folleto declara que el ETF FAIR no había iniciado operaciones y Yahoo asigna el ticker a un instrumento distinto.,2026-08-28T17:20:00+00:00
SEC-S000091440-C000259105,registered_not_trading,yahoo_ticker_conflict,https://query1.finance.yahoo.com/v8/finance/chart/NVDL?range=5d&interval=1d,El ticker NVDL continúa asignado en Yahoo al GraniteShares 2x Long NVDA Daily ETF y no al producto Tuttle registrado.,2026-08-28T17:30:00+00:00
